Fase,Título,URL,Fuente,Orden
1,Acercamiento Rusia–China (RT),https://actualidad.rt.com/actualidad/461870-iniciado-acercamiento-rusia-china-sustituir-orden-internacional-liderado,RT,1
1,4 errores estratégicos,https://youtu.be/R3TUnOKj9AE,YouTube,2
1,Análisis conflicto EE. UU. vs Rusia,https://youtu.be/ddQ6I13d4Jo,YouTube,3
1,Klaus Schwab admite la derrota del Cabal,https://youtu.be/3O4MXgGQgEo,YouTube,4
2,¿En qué fase de la guerra estamos? 2,https://youtu.be/cVmsa7PWRxA,YouTube,5
2,Siguiente movimiento Venezuela,https://youtu.be/0bWQCjyrEe4,YouTube,6
2,Hiroshima,https://youtu.be/2KCWHHHW54s,YouTube,7
2,Las guerras del siglo XX,https://youtu.be/R8V6zLHaL6A,YouTube,8
2,"Total, de formas e híbrida",https://youtu.be/4s6Snof-KMM,YouTube,9
2,¿Alguna vez vieron uno?,https://youtu.be/YofFU7m54Jg,YouTube,10
2,Gqs,https://youtu.be/XCKgunU2BFA,YouTube,11
2,Pleyadianos enojados,https://youtu.be/Zo6-Hb-s7DY,YouTube,12
2,Chips,https://youtu.be/X3NSykSPrp8,YouTube,13
2,Campos de batalla del futuro,https://youtu.be/2z3l2AcXlWw,YouTube,14
2,Guerra electrónica en Ucrania,https://youtu.be/NS3Wn5Hi3xc,YouTube,15
2,La tormenta del siglo,https://youtu.be/J-x4lxBh1jQ,YouTube,16
2,Golpe de estado a Xi,https://youtu.be/F4oYIRPqwYA,YouTube,17
2,Belgorod,https://youtu.be/JdurQ7yVsEA,YouTube,18
2,Espejo y toma de Zaporiyia,https://youtu.be/DN-UyBgQ2J8,YouTube,19
3,Xi Jinping y Moscú,https://youtu.be/Sf8i0r8XrgQ,YouTube,20
3,Purga en China,https://youtu.be/20J5B_5tkC8,YouTube,21
3,Sputnik: laptop de Hunter Biden,https://divulgaciontotal.com/w/?p=23449,DivulgacionTotal,22
3,Nueva moneda mundial,https://youtu.be/GMlTHt1IzHY,YouTube,23
3,Plan chino para convertir a Perú en potencia,https://youtu.be/WTh_mdrykOk,YouTube,24
3,Oro de occidente a China,https://youtu.be/GF6S_XfzOxc,YouTube,25
3,Último comunicado,https://youtu.be/HlUbqMC8_FI,YouTube,26
3,Petrodólar y mundial de Qatar,https://youtu.be/TngmNMpSFZY,YouTube,27
3,Nuevos experimentos biológicos,https://youtu.be/mcd85LHT8PQ,YouTube,28
3,Tribunales en Donbás y bomba sucia,https://youtu.be/rY-W5nB4UT0,YouTube,29
3,La China de Xi Jinping,https://youtu.be/rOAt6Xt9vlI,YouTube,30
3,News Lugansk,https://youtu.be/uJYSmKmST9U,YouTube,31
