class_number,title,url,platform,notes
192,Liquido medular.,https://youtu.be/7MJuSx142TI?si=9ossuRHzQTNW3i3F,YouTube,
192,Habilidades basicas.,https://www.facebook.com/share/r/1A6avgNUi3/,Facebook,
191,New kick training.,https://www.facebook.com/share/r/1GU8EtuGWH/,Facebook,
191,Baiji training.,https://www.facebook.com/share/r/16TvuqiPKf/,Facebook,
191,Flexiones Rusas.,https://youtube.com/shorts/tVN4XNIyv3Q?si=fPCcJXgnagpP_fG3,YouTube Shorts,
191,Muy super super.,https://youtube.com/shorts/ywIuYfPrKXI?si=MhQ4OfMW3onGZWW7,YouTube Shorts,
191,,https://youtu.be/57d5JkgIIAs?si=F4kjs6gMCin-RjsD,YouTube,
190,9 palacios.,https://youtube.com/watch?v=uBRweMGxUXU&feature=shared,YouTube,
190,Baiji training super super.,https://www.facebook.com/share/r/1ZwVRedFyg/,Facebook,
190,Bagua.,https://youtu.be/HrKExBnET98?si=CnI389u0CQ1xWKc1,YouTube,
190,1,https://youtube.com/shorts/gh2xApIaukI?si=TNTjv6-9R2It3NLh,YouTube Shorts,
190,2,https://youtube.com/shorts/jkrKVbnSW_Q?si=rvglewg44uH6XkDj,YouTube Shorts,
190,3,https://youtube.com/shorts/gh2xApIaukI?si=OSCaR-tvWCY43XG4,YouTube Shorts,
190,Curtision.,https://youtu.be/vQXVKUVcVq8?si=gwm5M3j1f-fsXQJp,YouTube,
189,El arte marcial de los mas fuertes..,https://youtube.com/shorts/jFPpghEtMxw?si=uUC-hT416rfIPDR6,YouTube Shorts,
189,Lanza.,https://youtu.be/hJLiM4Y1MEw?si=xTaruuNejlzad60_,YouTube,
189,Merloto 50 mejores ejercicios.,https://youtu.be/QAFD9lJe4iw?si=aD6zBkxOTY5I1U2Z,YouTube,
189,Patadas de tai chi chuan. Resumen min 27.,https://youtu.be/M3D5hPuLhws?si=MUQEMrRSqk_fZgfW,YouTube,
189,Kata de muay tai.,https://youtube.com/shorts/_Kb-I-6dLO0?si=0sPR_WxFk1ufx7Oi,YouTube Shorts,
189,Animal movement. Mma,https://youtu.be/bX-JE1MCH7E?si=6yb9Wj47s591-SiI,YouTube,
189,Knife defense.,https://youtu.be/1gmZWwGJaaw?si=h0YITK-ru_RYoLhZ,YouTube,
188,Calentamiento sho kaimen.,https://youtu.be/lEZM8TsGgp4?si=pSKMKZGYv7m5DTRY,YouTube,
188,6 formas de generar energía.,https://youtu.be/O5_bFBZOdbE?si=XBbMpQ2S8an32dJN,YouTube,
188,El puño de asesinato.,https://youtu.be/ZfI5Fyc8vKY?si=AB3B5bJWYBzNFihk,YouTube,
188,Baiji.,https://youtube.com/shorts/o5rV0PgyUcA?si=GQa01tVW7VqWFTlg,YouTube Shorts,
188,Fallin.,https://youtu.be/HbpPYhDjLT4?si=JGxwEMhL4wcEoYw-,YouTube,
188,Tercera mano Falcon.,https://youtu.be/3R89_LMLog4?si=cwAGHy_--f7Uu7Uw,YouTube,
188,Bagua. Aguila.,https://youtu.be/mHbRn3vuyxg?si=5cDbY4pX2SYfMSCK,YouTube,
188,Tigre.,https://youtu.be/kn8Ehy3epA4,YouTube,
188,Liang stile.,https://youtu.be/_1y870BbIKs,YouTube,
187,3.Xin yi y 12 animales.,https://youtu.be/69ubqovc8L0?si=K9V-UUlYtCx6NxMV,YouTube,
187,Palma que hunde energía en hundimiento.,https://youtu.be/3DpVoTL4j44?si=klkbX5u7k_GQV1z-,YouTube,
187,Tiger.,https://youtu.be/-xwULEQI8MY?si=roPEyR6JQPMo7rXv,YouTube,
187,11.Dragón verde.,https://youtu.be/lo6InuJI3WU?si=olT--f2ZjONeQDzg,YouTube,
187,12. Energia elastica.,https://youtu.be/GRLa_dz2F0w?si=apCmuQ60k0fbfr1p,YouTube,
187,Kicks.,https://youtube.com/shorts/SMRnQZlcnp0?si=_45x721yrvL2TzsO,YouTube Shorts,
187,Kun fu.,https://youtu.be/Xvby-stHCjI?si=abIM524SVFFG37Ll,YouTube,
186,Shaolin.,https://youtube.com/shorts/n69AZWbSQbk?si=QPjm0XyiJWM7MRTk,YouTube Shorts,
186,Workout shaolin.,https://youtu.be/xBnGziWUwNo?si=BJI5O4JA4ypVOLsA,YouTube,
185,El poder de los puños de kun fu.,https://youtu.be/fRGZe1_QLxo?si=qW_Nm4NEXm_yqbdX,YouTube,
185,Con este tutorial te podrás defender.,https://youtu.be/WUeV3GT5TEU?si=0C1FEe5zTvQehZeB,YouTube,
185,4 formas de magong chui.,https://youtu.be/o2UkmdDSuTA?si=7EcLHVjemO2dYhG9,YouTube,
185,Wing chun.,https://youtube.com/shorts/_q8L8zURBkk?si=bXGYQzIsYq9uhlP8,YouTube Shorts,
185,Hun gar 5.,https://youtu.be/_SwoQDIOaFY,YouTube,
184,Calistenia China.,https://youtu.be/ln50ZziOEGk?si=cvGn-PXj2OIPcrzK,YouTube,
184,Calistenia china para la respiración.,https://youtu.be/N5Ze6OLRmWY?si=PSCRKwrLOxnN-wFs,YouTube,
184,Rutina de 10 mins de cuerpo completo.,https://youtu.be/GBm7a5ElrIA?si=J7GXrKl_TTqJgMu6,YouTube,
183,Steping.,https://youtu.be/--_NZQVSlrA?si=41lfdEDgMK3TSq6j,YouTube,
183,Energia en cruz.,https://youtu.be/W2AYq3OCJWA?si=G3C4v-eaidX2HSVM,YouTube,
183,Los 3 codos.,https://youtu.be/uNlORm0N8Bc?si=XSOiP7eKe0zHN4Ch,YouTube,
183,Garra de tigre. Esquema hermoso min 37.,https://youtu.be/7eJyZciEhh0?si=V9niMSmG0Pym4p5Y,YouTube,
183,Puño de cañón de los 3 emperadores.,https://youtu.be/UpKXSR0Ny2o?si=C8XiDKxFPXiV5VPN,YouTube,
183,Los 22 movimientos de xin yi.,https://youtu.be/k9YpTMwmxHI?si=2_mXYcsc05j4waDT,YouTube,
183,El rey del gluteo. 🤣,https://youtube.com/shorts/dyTQSymTk64?si=h8u_0pgAp2xxs-O5,YouTube Shorts,
182,El reto.,https://youtu.be/10oHvv_ZCO0?si=6cfHQpv_KQT3NqlA,YouTube,
182,El reto.,https://youtube.com/shorts/_q8L8zURBkk?si=mrhxFoi87jVlfvBh,YouTube Shorts,
182,Plan b.,https://youtube.com/shorts/QshdeLgSTcA?si=HnMcTbWNMi_aSWA9,YouTube Shorts,
181,Challenge.,https://youtu.be/boNITY9KxJ4?si=EqQQ4VRHQNEwtuXM.,YouTube,
181,La esencia del xin yi.,https://www.facebook.com/100071954229750/posts/425182229890248/?mibextid=rS40aB7S9Ucbxw6v,Facebook,
181,La esencia del long fist.,https://youtube.com/shorts/0fRlhPshqp0?si=cmpLFMUeS57SfQ_d,YouTube Shorts,
181,Esence of baiji chuan.,https://youtu.be/LJ4GSo3KYAU?si=uQWs3XJMuN4fgB9M,YouTube,
181,Bagua en círculo.,https://youtu.be/nPZg_UnzgIM?si=0_9BusuVt-wlhakK,YouTube,
181,Pelea con bagua zang. Chicas.,https://youtu.be/AYUhoPbrK9A?si=TjroQTAQzPAoHivC,YouTube,
180,Drunken.,https://www.facebook.com/reel/632896509514406?mibextid=rS40aB7S9Ucbxw6v,Facebook,
179,Power exersises.,https://youtu.be/Ii3Uy2ngXWM,YouTube,
